restaurant_name,location_name,street,city,state,zipcode,coordinate,google_place_id,Error?
Misi,Misi,329 Kent Ave,Brooklyn,NY,11249,0101000020E61000009C06FB65E67D52C083F755B9505B4440,ChIJw7SsU_pZwokREyGSSulF53U,
Mister Oso,Boulder Area,1253 Pleasant St unit 101,Boulder,CO,80302,0101000020E610000014252191B6515AC0FA8557923C014440,ChIJb5FzHxHta4cReR_gXny0wDs,
Mister Oso,RiNo,3163 Larimer St,Denver,CO,80205,0101000020E61000003E8743809D3E5AC01F6393A1CFE14340,ChIJ_2q1cg55bIcRKhYP9PxOiV4,
Mitsuru,Greenwich Village,149 W 4th St,New York,NY,10012,0101000020E6100000E515E357078052C099261186A65D4440,ChIJ53izUQBZwokRJTNgBT_Et_o,
Mixteca,West Village,1 Cornelia St,New York,NY,10014,0101000020E610000018963FDF168052C04815C5ABAC5D4440,ChIJG4KjIzNZwokRoNPsES4eqaA,
Miznon,Chelsea,435 W 15th St,New York,NY,10011,0101000020E6100000EE9CC13A698052C00D2DFC2A0A5F4440,ChIJ8VQWXL9ZwokRvzf2OM4TNP4,
Moby's,Amagansett,341 Pantigo Rd,East Hampton,NY,11937,0101000020E610000049827005940A52C0D4421372EF7B4440,ChIJ9V8t10i76IkRcj-Aoa-eBIg,
Mokyo,East Village,109 St Marks Pl,New York,NY,10009,0101000020E6100000BBBFFC58FA7E52C01734B7FE145D4440,ChIJHxQBcypZwokR7-D3oe4V6Go,
Momofuku Noodle Bar,Columbus Circle,10 Columbus Cir,New York,NY,10019,0101000020E6100000CBB2710EE87E52C04328A5564E624440,ChIJKzLt4dZZwokRbv-Ebx1hBo0,
Momofuku Noodle Bar,Momofuku Noodle Bar,171 1st Ave,New York,NY,10003,0101000020E610000048ACC5A7007F52C0633C94B2565D4440,ChIJkXQ3_INZwokRE74ZvG46Jjc,
Momoya,SoHo,47 Prince St,New York,NY,10012,0101000020E610000099B52FAFBA7F52C0496CE3A4A05C4440,ChIJ4Rw7sVhZwokRJuSZSI0jb4A,
Momoya,Upper West Side,427 Amsterdam Ave,New York,NY,10024,0101000020E6100000B868A2A18E7E52C0AEAD1C0A61644440,ChIJgTrKAYZYwokRrLF7JiGwdNM,
Montauk Beach House Bar & Grill,Montauk,55 S Elmwood Ave,Montauk,NY,11954,0101000020E6100000249639025DFC51C0610212A859844440,ChIJ_VSf40pT74kRmhiiphHELDk,
Montauk Project,Montauk,240 Ft Pond Rd,Montauk,NY,11954,0101000020E6100000F0726C98FCFC51C00FB9BEB44D864440,ChIJz7zqG0-r6IkRgvGPKq-BgWA,
Monte's At the Manor,Montauk,236 Edgemere St,Montauk,NY,11954,0101000020E61000009D9E7763C1FC51C0D943561234864440,ChIJm8KDZEpV74kRl1hPl-aWoNc,
Moody Tongue Pizza,East Village,123 St Marks Pl,New York,NY,10009,0101000020E6100000E6860340EF7E52C02B6B2322105D4440,ChIJGSBX5MNZwokR8dULUeLZH5M,
Moody Tongue Sushi,West Village,150 W 10th St,New York,NY,10014,0101000020E6100000640090CF128052C075870986025E4440,ChIJGUJaVtVZwokR3VU_JU2pedg,
Moongate Lounge,Chinatown,28 Waverly Pl,San Francisco,CA,94108,0101000020E61000003B588A24079A5EC0BBD42AF29CE54240,ChIJpUlYTNmBhYARE6fZdZBiKR4,
